"model","pk","fields__question_research","fields__question_article","fields__question_text","fields__question_madeby","fields__question_id","fields__question_reftext","fields__question_pubdate","fields__question_deleted","fields__question_deletedate"
"question.annotquestion","55","1","2","How are B6 and B9 different?","8","annot4","In this case, the vitamins used were folate (B9) and Vitamin B12.\n\nThe","2018-06-15T05:16:41.374Z","False","2018-06-15T05:16:41.374Z"
"question.annotquestion","56","1","3","can this be because there are less women smoking? can smoking play a huge role in the phenomena/observation?","5","annot2","no similar risk in women who took the supplements","2018-06-15T05:17:19.057Z","False","2018-06-15T05:17:19.057Z"
"question.annotquestion","57","1","2","Did these other studies also study just the male?","8","annot5","reports","2018-06-15T05:17:22.663Z","False","2018-06-15T05:17:22.663Z"
"question.annotquestion","58","1","1","vitamin B has the cancer risk? or what? ","6","annot1","vitamin B cancer risk","2018-06-15T05:17:24.688Z","False","2018-06-15T05:17:24.688Z"
"question.annotquestion","59","1","1","So how much should I consume for the B?","7","annot5","to 'overdose' on B vitamins","2018-06-15T05:17:25.917Z","False","2018-06-15T05:17:25.917Z"
"question.annotquestion","60","1","2","I thought it was only a male study","3","annot2","Women did not show an increased risk","2018-06-15T05:19:06.264Z","False","2018-06-15T05:19:06.264Z"
"question.annotquestion","61","1","1","As the research is done with review of medical record, does it really limit the other factors that increase cancer except for vitamin B and smoking?","6","annot2","The research is based on a review of medical records over the long-term. It","2018-06-15T05:19:23.262Z","False","2018-06-15T05:19:23.262Z"
"question.annotquestion","62","1","3","Then is there anyone who is in need of taking vitamin B? ","4","annot3","so there really is no reason to supplement your vitamin B intake at these levels, and certainly not for years on end","2018-06-15T05:19:34.710Z","False","2018-06-15T05:19:34.710Z"
"question.annotquestion","63","1","2","What's the connection between smoking and high vitamin doses? ","8","annot6","Most of the risk was linked to men who were active smokers throughout the period. Their","2018-06-15T05:19:48.458Z","False","2018-06-15T05:19:48.458Z"
"question.annotquestion","64","1","2","this was why they focused on men only","18","annot1","Women did not show an increased risk.\n\nMost","2018-06-15T05:21:56.853Z","False","2018-06-15T05:21:56.853Z"
"question.annotquestion","65","1","2","Why?","7","annot1","Women did not show an increased risk","2018-06-15T05:22:53.247Z","False","2018-06-15T05:22:53.247Z"
"question.annotquestion","66","1","1","Which vitamin B? ","9","annot1","B vitamins.","2018-06-15T05:23:10.255Z","False","2018-06-15T05:23:10.255Z"
"question.annotquestion","67","1","3","Implies everyone takes vitamin B for energy boosting purposes?","8","annot1","energy-boosting","2018-06-15T05:23:25.504Z","False","2018-06-15T05:23:25.504Z"
"question.annotquestion","68","1","3","how long?","8","annot2","long period were","2018-06-15T05:24:52.123Z","False","2018-06-15T05:24:52.123Z"
"question.annotquestion","69","1","3","what is the baseline in absolute numbers?","8","annot3","four times higher","2018-06-15T05:25:08.692Z","False","2018-06-15T05:25:08.692Z"
"question.annotquestion","70","1","2","There was no any difference b/w the men and women except for gender?","6","annot1","The same effect was not seen in women","2018-06-15T05:25:21.614Z","False","2018-06-15T05:25:21.614Z"
"question.annotquestion","71","1","3","What is the possible interaction between the two?","8","annot4","Male smokers who took more than 20mg of B6 a day for 10 years were three times more likely to develop lung cancer than people who did not take supplements.\n\nThe","2018-06-15T05:26:35.012Z","False","2018-06-15T05:26:35.012Z"
"question.annotquestion","72","1","3","Do other materials in the tablets interact with vitamin B in any way?","8","annot5","But he said most multivitamin tablets did not contain such high doses so taking those daily should not have the same effect.\n\nFurther","2018-06-15T05:27:26.135Z","False","2018-06-15T05:27:26.135Z"
"question.annotquestion","73","1","2","maybe it's not vitamin B itself, but the energy drinks are causing negative effects to the takers","5","annot1","often marketed as energy boosters and present in energy drinks","2018-06-15T05:27:27.259Z","False","2018-06-15T05:27:27.259Z"
"question.annotquestion","74","1","3","Is this because there was some previous evidence of high levels of vitamin B promoting health?","2","annot1","Vitamin B6 and B12 pills are often marketed as energy or metabolism-boosting products. The","2018-06-15T05:27:27.565Z","False","2018-06-15T05:27:27.565Z"
"question.annotquestion","75","1","2","mixed = it means that the opinion toward taking supplements of Vitamin B is diverged?","6","annot2","mixed","2018-06-15T05:28:16.371Z","False","2018-06-15T05:28:16.371Z"
"question.annotquestion","76","1","3","How are such high levels permitted - is there no restriction legally?","2","annot2","But tablets available on the high street in the UK can contain as much as 100mg of B6 and 500mcg of B12.\n\nFor","2018-06-15T05:28:17.744Z","False","2018-06-15T05:28:17.744Z"
"question.annotquestion","77","1","3","What was the case for non-smokers?","9","annot1","even when factors like age, smoking history, family history of cancer and alcohol consumption were taken into account.","2018-06-15T05:28:47.435Z","False","2018-06-15T05:28:47.435Z"
"question.annotquestion","78","1","3","Is this comparable to the current study in terms of the period of study, type of cancer, etc.?","8","annot6","Excessive doses of vitamin E, beta-carotene and folic acid (vitamin B9) have all previously been linked to increased cancer risk. The","2018-06-15T05:28:56.761Z","False","2018-06-15T05:28:56.761Z"
"question.annotquestion","79","1","1","how big? what data?","8","annot1","big data analytics","2018-06-15T05:30:08.131Z","False","2018-06-15T05:30:08.131Z"
"question.annotquestion","80","1","1","what connection?","8","annot2","connection","2018-06-15T05:30:18.680Z","False","2018-06-15T05:30:18.680Z"
"question.annotquestion","81","1","2","8 out of 10 people are having chance to get cancer? or it is comparison to normal people not taking vitamin a lot? ","6","annot3","80% higher risk of lung cancer","2018-06-15T05:30:21.036Z","False","2018-06-15T05:30:21.036Z"
"question.annotquestion","82","1","1","what advantages? against what?","8","annot3","advantages of data driven science. \n\nThe","2018-06-15T05:30:36.743Z","False","2018-06-15T05:30:36.743Z"
"question.annotquestion","83","1","1","How is this database gathered?","4","annot1","the SEER (Surveillance, Epidemiology, and End Results) database. This","2018-06-15T05:30:59.229Z","False","2018-06-15T05:30:59.229Z"
"question.annotquestion","84","1","2","Thus, can we say like Vitamin B increases the cancer risk?","6","annot4","Most of the risk was linked to men who were active smokers throughout the period. Their","2018-06-15T05:31:00.867Z","False","2018-06-15T05:31:00.867Z"
"question.annotquestion","85","1","1","why does 10 matter? shorter? longer?","8","annot4","ten year period","2018-06-15T05:31:14.075Z","False","2018-06-15T05:31:14.075Z"
"question.annotquestion","86","1","1","Why is this considered 'high'?","2","annot1","took high doses of vitamin B6 (with 'high' being defined as 20 milligrams or more per day) increased","2018-06-15T05:31:20.062Z","False","2018-06-15T05:31:20.062Z"
"question.annotquestion","87","1","1","how exact is this number? how do we know?","8","annot5","55 micrograms of B12 each day","2018-06-15T05:31:46.230Z","False","2018-06-15T05:31:46.230Z"
"question.annotquestion","88","1","2","is this even possible? ","5","annot2","an association between 13 types of vitamins and over 120 different types of cancer","2018-06-15T05:31:50.916Z","True","2018-06-15T05:31:53.298Z"
"question.annotquestion","89","1","1","not sure if this was mentioned in the previous articles, but seems like useful info.","8","annot6","SEER","2018-06-15T05:32:10.560Z","False","2018-06-15T05:32:10.560Z"
"question.annotquestion","90","1","1","Why was this assumption popularized in the first place?","2","annot2","under the assumption that this helps to boost energy levels or lower cholesterol.\n\nThe","2018-06-15T05:32:30.806Z","False","2018-06-15T05:32:30.806Z"
"question.annotquestion","91","1","1","how many people's data? how accurate and reliable is the data?","8","annot7","data","2018-06-15T05:32:51.975Z","False","2018-06-15T05:32:51.975Z"
"question.annotquestion","92","1","2","any supplements?","4","annot1","High dose supplements","2018-06-15T05:33:48.194Z","False","2018-06-15T05:33:48.194Z"
"question.annotquestion","93","1","1","Did it focus on men, or did it find no correlation with women?","2","annot3","The research focuses on men, and","2018-06-15T05:33:48.399Z","False","2018-06-15T05:33:48.399Z"
"question.annotquestion","94","1","2","Then is there any other factor that could have affected in this result?","4","annot2","can’t tell you that the link is causal","2018-06-15T05:35:10.460Z","False","2018-06-15T05:35:10.460Z"
"question.annotquestion","95","1","2","Was there any good case of taking supplement of B?","4","annot3","science, the reports on taking supplements of B vitamins are mixed","2018-06-15T05:37:25.470Z","False","2018-06-15T05:37:25.470Z"
"question.annotquestion","96","1","2","How is this possible when they followed the group for six years?","4","annot4","for ten years (the","2018-06-15T05:38:53.044Z","False","2018-06-15T05:38:53.044Z"
